Date,Open,High,Low,Close,Adj Close,Volume
2004-09-10,20.315001,20.315001,20.059999,20.150000,14.686938,362800
2004-09-13,20.209999,20.535000,20.200001,20.340000,14.825428,212800
2004-09-14,20.264999,20.264999,19.610001,19.695000,14.355290,348600
2004-09-15,19.695000,19.775000,19.250000,19.355000,14.107472,532200
2004-09-16,19.434999,19.665001,19.299999,19.325001,14.085616,427000
2004-09-17,19.445000,19.540001,19.180000,19.375000,14.122057,431000
2004-09-20,18.805000,19.355000,18.785000,19.135000,13.947124,369000
2004-09-21,19.094999,19.225000,18.775000,19.115000,13.932544,369800
2004-09-22,19.025000,19.025000,18.600000,18.639999,13.586325,444800
2004-09-23,18.639999,18.660000,18.299999,18.385000,13.400462,322000
2004-09-24,18.385000,18.820000,18.385000,18.590000,13.549884,191600
2004-09-27,18.570000,19.165001,18.570000,18.950001,13.812283,495800
2004-09-28,19.000000,19.975000,19.000000,19.955000,14.544802,595000
2004-09-29,19.915001,19.915001,19.295000,19.465000,14.187650,341200
2004-09-30,19.485001,20.020000,19.455000,19.850000,14.468265,337600
2004-10-01,20.000000,20.155001,19.900000,20.145000,14.683289,367200
2004-10-04,20.145000,20.615000,20.110001,20.475000,14.923829,415200
2004-10-05,20.549999,20.690001,20.355000,20.475000,14.923829,386000
2004-10-06,20.424999,20.950001,20.424999,20.950001,15.270040,313000
2004-10-07,20.950001,20.950001,20.110001,20.110001,14.657771,345800
2004-10-08,20.025000,20.355000,19.830000,19.875000,14.486491,439800
2004-10-11,20.000000,20.059999,19.674999,19.745001,14.391747,301000
2004-10-12,19.745001,19.745001,19.235001,19.559999,14.256899,251800
2004-10-13,19.559999,19.565001,17.695000,18.035000,13.145358,1054200
2004-10-14,18.084999,18.170000,17.700001,17.920000,13.061530,365000
2004-10-15,17.975000,18.145000,17.910000,17.930000,13.068817,358200
2004-10-18,17.840000,18.049999,17.584999,17.775000,12.955844,488800
2004-10-19,17.900000,18.125000,16.540001,16.860001,12.288923,844800
2004-10-20,16.875000,17.445000,16.865000,17.125000,12.482075,496000
2004-10-21,17.000000,17.375000,16.594999,17.375000,12.664292,563000
2004-10-22,17.395000,17.590000,17.250000,17.260000,12.580469,386800
2004-10-25,18.105000,18.165001,17.330000,17.450001,12.718963,860400
2004-10-26,17.600000,17.885000,17.330000,17.875000,13.028729,790800
2004-10-27,17.959999,18.495001,17.635000,18.000000,13.119846,699800
2004-10-28,17.465000,17.469999,16.809999,16.940001,12.347231,992800
2004-10-29,16.965000,17.184999,16.809999,17.160000,12.507582,601800
2004-11-01,17.209999,17.230000,16.799999,17.105000,12.467496,406600
2004-11-02,17.434999,17.924999,17.375000,17.725000,12.919402,793400
2004-11-03,18.000000,18.370001,17.915001,18.205000,13.269266,594000
2004-11-04,18.150000,18.485001,18.000000,18.469999,13.462413,406600
2004-11-05,18.490000,18.700001,18.235001,18.325001,13.356728,320800
2004-11-08,18.450001,18.610001,18.160000,18.375000,13.393176,338800
2004-11-09,18.375000,18.844999,18.309999,18.615000,13.568104,246600
2004-11-10,18.605000,19.040001,18.424999,18.610001,13.564462,345200
2004-11-11,18.610001,18.844999,18.450001,18.799999,13.702942,317200
2004-11-12,18.875000,19.395000,18.775000,19.299999,14.067384,364600
2004-11-15,19.375000,19.385000,18.900000,19.295000,14.063747,451400
2004-11-16,19.295000,19.450001,19.145000,19.275000,14.049167,387000
2004-11-17,19.475000,19.850000,19.235001,19.504999,14.216807,282800
2004-11-18,19.504999,19.540001,19.110001,19.344999,14.100186,391800
2004-11-19,19.299999,19.535000,19.135000,19.219999,14.009076,359600
2004-11-22,19.200001,20.020000,19.184999,20.004999,14.581248,440200
2004-11-23,20.010000,20.010000,19.434999,19.775000,14.413606,464600
2004-11-24,19.740000,20.190001,19.740000,19.959999,14.548453,308800
2004-11-26,20.135000,20.600000,20.135000,20.379999,14.854568,426800
2004-11-29,20.450001,20.620001,19.924999,20.385000,14.858223,407200
2004-11-30,20.375000,20.670000,19.955000,19.955000,14.544802,497800
2004-12-01,20.059999,20.445000,19.905001,20.245001,14.756180,426200
2004-12-02,20.165001,20.165001,19.504999,20.110001,14.657771,651200
2004-12-03,20.075001,20.375000,19.934999,20.315001,14.807198,367600
2004-12-06,20.290001,20.295000,19.670000,19.750000,14.395386,479800
2004-12-07,19.770000,19.770000,19.040001,19.040001,13.877880,531000
2004-12-08,19.004999,19.020000,18.570000,18.889999,13.793901,378800
2004-12-09,18.850000,18.924999,18.559999,18.809999,13.735485,306600
2004-12-10,18.850000,19.270000,18.735001,19.110001,13.954556,323400
2004-12-13,19.139999,19.434999,19.115000,19.325001,14.111549,368200
2004-12-14,18.750000,19.049999,18.504999,18.764999,13.702627,599800
2004-12-15,18.889999,19.469999,18.825001,19.469999,14.217434,371200
2004-12-16,19.455000,19.540001,19.040001,19.250000,14.056780,356800
2004-12-17,19.250000,19.395000,19.084999,19.299999,14.093288,295200
2004-12-20,19.350000,19.625000,19.295000,19.450001,14.202826,341800
2004-12-21,19.450001,20.040001,19.440001,20.004999,14.608100,661000
2004-12-22,20.070000,20.205000,19.530001,19.764999,14.432846,334000
2004-12-23,19.725000,20.030001,19.725000,19.799999,14.458404,134600
2004-12-27,19.875000,19.915001,19.395000,19.430000,14.188225,187400
2004-12-28,19.600000,19.900000,19.600000,19.820000,14.473014,174400
2004-12-29,19.865000,19.865000,19.480000,19.495001,14.235686,236400
2004-12-30,19.280001,19.495001,19.080000,19.385000,14.155362,335200
2004-12-31,19.365000,19.690001,19.365000,19.480000,14.224732,190600
2005-01-03,19.400000,19.674999,18.940001,19.014999,13.885176,382200
2005-01-04,18.969999,19.205000,18.674999,18.785000,13.717231,377000
2005-01-05,18.760000,18.924999,18.565001,18.700001,13.655163,703200
2005-01-06,18.700001,18.799999,18.430000,18.625000,13.600395,354400
2005-01-07,18.750000,18.924999,18.240000,18.240000,13.319256,404800
2005-01-10,18.200001,18.709999,18.200001,18.549999,13.545630,370800
2005-01-11,18.400000,18.410000,17.945000,18.145000,13.249888,561000
2005-01-12,18.150000,18.325001,17.910000,18.295000,13.359426,257000
2005-01-13,18.299999,18.620001,18.070000,18.250000,13.326559,303600
2005-01-14,18.375000,18.730000,18.344999,18.434999,13.461645,407400
2005-01-18,18.440001,18.665001,18.155001,18.565001,13.556580,419000
2005-01-19,18.500000,18.754999,18.270000,18.305000,13.366720,255600
2005-01-20,18.250000,18.709999,18.180000,18.540001,13.538323,417000
2005-01-21,18.510000,19.120001,18.504999,19.040001,13.903431,469000
2005-01-24,18.995001,19.195000,18.900000,19.055000,13.914398,886400
2005-01-25,19.075001,19.645000,19.075001,19.184999,14.009312,473800
2005-01-26,19.270000,19.424999,18.910000,19.299999,14.093288,286200
2005-01-27,19.389999,19.490000,18.950001,19.190001,14.012970,412800
2005-01-28,19.315001,19.350000,18.870001,19.025000,13.892480,327200
2005-01-31,19.025000,19.309999,18.840000,19.184999,14.009312,815400
2005-02-01,19.184999,19.575001,19.075001,19.504999,14.242992,387800
2005-02-02,19.379999,19.670000,19.309999,19.420000,14.180924,295400
2005-02-03,19.299999,19.625000,19.075001,19.615000,14.323312,622200
2005-02-04,19.490000,19.715000,19.295000,19.680000,14.370776,372600
2005-02-07,19.700001,19.975000,19.520000,19.625000,14.330619,229000
2005-02-08,19.620001,19.620001,19.270000,19.375000,14.148062,505400
2005-02-09,19.424999,19.495001,18.990000,19.014999,13.885176,367400
2005-02-10,19.025000,19.025000,18.639999,18.834999,13.753741,564800
2005-02-11,18.934999,19.049999,18.730000,18.950001,13.837713,520400
2005-02-14,19.025000,19.225000,18.924999,19.174999,14.002019,393800
2005-02-15,19.059999,19.129999,18.605000,18.690001,13.647856,474600
2005-02-16,18.690001,19.665001,18.674999,19.395000,14.162663,625200
2005-02-17,20.275000,22.105000,19.584999,21.700001,15.845832,2519200
2005-02-18,21.875000,22.219999,21.635000,22.000000,16.064892,819200
2005-02-22,21.625000,22.225000,21.400000,21.600000,15.772803,822200
2005-02-23,21.605000,22.200001,21.600000,22.030001,16.086802,569400
2005-02-24,22.025000,22.320000,21.945000,22.230000,16.232843,637600
2005-02-25,22.240000,23.184999,22.240000,23.150000,16.904644,704800
2005-02-28,23.000000,23.100000,22.684999,22.850000,16.685581,889800
2005-03-01,23.035000,23.125000,22.705000,22.889999,16.714788,1135000
2005-03-02,22.889999,23.340000,22.615000,22.879999,16.707493,657000
2005-03-03,22.885000,22.940001,22.584999,22.719999,16.590660,538600
2005-03-04,22.959999,23.695000,22.940001,23.680000,17.291666,610000
2005-03-07,23.684999,23.764999,22.940001,22.950001,16.758608,814400
2005-03-08,22.950001,22.950001,22.219999,22.290001,16.276657,741400
2005-03-09,22.344999,22.350000,21.559999,21.625000,15.823005,1004000
2005-03-10,21.600000,21.639999,21.010000,21.254999,15.552278,859800
2005-03-11,21.850000,22.334999,21.500000,22.290001,16.309584,670400
2005-03-14,22.275000,22.340000,21.575001,21.975000,16.079100,585600
2005-03-15,21.975000,22.340000,21.805000,21.885000,16.013241,488200
2005-03-16,21.924999,21.924999,21.110001,21.290001,15.577889,587600
2005-03-17,21.290001,21.799999,21.170000,21.745001,15.910807,395800
2005-03-18,21.870001,21.875000,20.900000,21.240000,15.541297,776200
2005-03-21,21.275000,21.485001,21.115000,21.375000,15.640080,508200
2005-03-22,21.450001,22.055000,21.309999,21.340000,15.614469,414400
2005-03-23,21.344999,21.344999,20.655001,20.655001,15.113260,335200
2005-03-24,20.750000,21.110001,20.725000,20.725000,15.164477,306200
2005-03-28,20.709999,20.850000,20.379999,20.465000,14.974234,394400
2005-03-29,20.375000,20.820000,19.490000,19.549999,14.304727,552800
2005-03-30,19.540001,19.799999,19.235001,19.545000,14.301070,848800
2005-03-31,19.775000,20.115000,19.625000,20.004999,14.637646,531000
2005-04-01,20.059999,20.424999,19.825001,19.975000,14.615703,449600
2005-04-04,19.975000,20.215000,19.525000,20.139999,14.736428,416400
2005-04-05,21.150000,21.815001,20.745001,21.639999,15.833986,1649600
2005-04-06,21.645000,22.115000,21.420000,21.809999,15.958367,833800
2005-04-07,21.815001,21.860001,21.575001,21.750000,15.914470,363400
2005-04-08,21.500000,21.680000,20.930000,20.975000,15.347398,573400
2005-04-11,20.975000,21.530001,20.665001,21.415001,15.669348,826400
2005-04-12,21.299999,21.360001,20.745001,21.360001,15.629107,678000
2005-04-13,21.475000,21.485001,20.590000,20.830000,15.241303,868400
2005-04-14,20.650000,20.650000,19.639999,19.700001,14.414486,1007400
2005-04-15,19.690001,19.764999,18.775000,19.190001,14.041317,1532600
2005-04-18,19.184999,20.219999,18.985001,19.975000,14.615703,800600
2005-04-19,20.250000,20.469999,20.155001,20.305000,14.857159,923000
2005-04-20,20.305000,20.410000,19.790001,19.860001,14.531557,444000
2005-04-21,20.250000,20.350000,19.980000,20.254999,14.820578,720000
2005-04-22,20.205000,20.405001,19.915001,20.174999,14.762049,659800
